,precision,recall,f1-score,support
0,0.975,0.9069767441860465,0.9397590361445783,43.0
1,0.9459459459459459,0.9859154929577465,0.9655172413793104,71.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.960472972972973,0.9464461185718964,0.9526381387619444,114.0
weighted avg,0.9569049312470365,0.956140350877193,0.9558014271241044,114.0
